Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2021-09-23,5677.889375323059,5646.577680500807,5608.019866294049,5616.5882694511065,60998500,45.80682521443327,5164.732978678519,4990.786557612836,5157.2600640451665,5310.294495068564,5589.45999975584,-131.44516093895345,-143.3337690723268,False
2021-09-24,5607.31560351963,5642.2939453125,5569.462512457289,5569.462512457289,60539500,58.72608307657594,5267.364258007428,5027.974495054598,5173.282795814254,5249.139111197845,5608.7987695777565,-96.40493117592996,-133.94800149304743,False
2021-09-27,5431.893578045963,5650.861882079335,5616.5882694511065,5642.293478922278,55052500,50.86334099329812,5335.354527109868,5340.046678488419,5207.244557364584,5188.551457630004,5606.066458662348,-81.84690782472626,-123.5277827593832,True
2021-09-28,6977.85868700488,5620.87322661043,5569.462800757286,5603.736417992715,80186000,59.37778623923399,5354.662337297088,5515.555566741454,5175.022214793195,5267.566243398775,5552.896048099789,53.81653121723775,-88.05891996405902,False
2021-09-29,6155.651568407158,5638.00927734375,5582.314656822877,5586.598858401406,74079000,53.51741078735036,5679.301607238647,5787.898331025334,5405.470759512447,5378.580067190925,5572.421262512926,93.90308475266556,-51.666519020714105,True
2021-09-30,7074.675034019705,5997.88232421875,5650.861989746094,5655.14619140625,156848000,59.277890515689,5774.5715994723505,5970.121762460139,5480.454160036486,5428.213963516824,5591.935380008395,197.55222127797424,-1.8227709609764418,False
2021-10-01,6080.550822913918,5912.198370758599,5749.39870547684,5912.198370758599,103954500,51.59301493707769,6034.592286381821,6249.4788941994675,5638.726694627032,5532.014828609326,5677.744990764046,197.20414648705173,37.98261252862919,False
2021-10-04,6071.953735780694,5963.60791015625,5775.103062421426,5775.103062421426,74719000,57.62282213443036,6043.783993688241,6344.125938078325,5842.086308283373,5586.205017602496,5682.002156736261,193.99829009621862,69.18574804214708,False
2021-10-05,5047.895101889492,5950.75537109375,5877.923951865101,5920.765963176071,54986500,48.10928235143035,6049.417942106732,6472.137969625272,5993.846768183363,5607.394133070555,5687.125572653992,107.58448548989963,76.8654955316976,True
2021-10-06,6902.085278488828,6152.11328125,5972.176820377786,5980.745223276463,174312000,56.276579718616844,5849.113374063285,6086.145252602193,5937.021791813763,5632.362257209029,5676.297823132356,186.56793488045332,98.80598340144876,False
2021-10-07,5657.25492337952,6147.829167030377,6066.429338337988,6147.829167030377,107263500,57.29755597595805,6059.707754948394,6235.431994618528,6102.776878539333,5732.113438230501,5696.949884112387,147.02071807082393,108.44893033532381,True
2021-10-08,6046.771530279241,6254.933636616941,6147.828608592678,6169.249614197532,94643500,56.836397236916575,5979.217188634619,5951.94797249049,6100.7134333449785,5743.133787248185,5653.289832577767,145.4335314561822,115.84585055949549,True
2021-10-11,7447.405260059726,6246.365385133098,6194.9549704406445,6203.523372889387,47201000,58.135964404105735,5992.728056963544,5945.192113963555,6144.6590260209405,5876.454910176766,5639.585919463795,254.2641126214303,143.52950297188247,False
